阿拉伯语 a1'la1'bo2'yu3
阿司匹林 a1'si1'pi3'lin2
哀兵必胜 ai1'bing1'bi4'sheng4
唉声叹气 ai1'sheng1'tan4'qi4
爱不释手 ai4'bu4'shi4'shou3
爱财如命 ai4'cai2'ru2'ming4
爱答不理 ai4'da1'bu4'li3
爱国主义 ai4'guo2'zhu3'yi4
爱克斯光 ai4'ke4'si1'guang1
爱莫能助 ai4'mo4'neng2'zhu4
爱屋及乌 ai4'wu1'ji2'wu1
爱憎分明 ai4'zeng1'fen1'ming2
碍手碍脚 ai4'shou3'ai4'jiao3
安分守己 an1'fen4'shou3'ji3
安民告示 an1'min2'gao4'shi4
安步当车 an1'bu4'dang4'che1
安居工程 an1'ju1'gong1'cheng2
安居乐业 an1'ju1'le4'ye4
安全系数 an1'quan2'xi4'shu4
安如磐石 an1'ru2'pan2'shi2
安如泰山 an1'ru2'tai4'shan1
安身立命 an1'shen1'li4'ming4
安土重迁 an1'tu3'zhong4'qian1
安营扎寨 an1'ying2'zha1'zhai4
安之若素 an1'zhi1'ruo4'su4
安贫乐道 an1'pin2'le4'dao4
鞍马劳顿 an1'ma3'lao2'dun4
鞍前马后 an1'qian2'ma3'hou4
按兵不动 an4'bing1'bu4'dong4
按部就班 an4'bu4'jiu4'ban1
按图索骥 an4'tu2'suo3'ji4
暗送秋波 an4'song4'qiu1'bo1
暗无天日 an4'wu2'tian1'ri4
暗箱操作 an4'xiang1'cao1'zuo4
黯然神伤 an4'ran2'shen2'shang1
黯然失色 an4'ran2'shi1'se4
昂首阔步 ang2'shou3'kuo4'bu4
嗷嗷待哺 ao2'ao2'dai4'bu3
澳大利亚 ao4'da4'li4'ya4
八拜之交 ba1'bai4'zhi1'jiao1
八面玲珑 ba1'mian4'ling2'long2
八面威风 ba1'mian4'wei1'feng1
八仙过海 ba1'xian1'guo4'hai3
巴基斯坦 ba1'ji1'si1'tan3
巴山蜀水 ba1'shan1'shu3'shui3
拔刀相助 ba2'dao1'xiang1'zhu4
拔地而起 ba2'di4'er2'qi3
拔苗助长 ba2'miao2'zhu4'zhang3
跋山涉水 ba2'shan1'she4'shui3
把水搅浑 ba3'shui3'jiao3'hun2
白璧微瑕 bai2'bi4'wei1'xia2
白璧无瑕 bai2'bi4'wu2'xia2
白金汉宫 bai2'jin1'han4'gong1
白驹过隙 bai2'ju1'guo4'xi4
白马王子 bai2'ma3'wang2'zi3
白面书生 bai2'mian4'shu1'sheng1
白日做梦 bai2'ri4'zuo4'meng4
白色恐怖 bai2'se4'kong3'bu4
白色垃圾 bai2'se4'la1'ji1
白色污染 bai2'se4'wu1'ran3
白手起家 bai2'shou3'qi3'jia1
白头偕老 bai2'tou2'xie2'lao3
白眼儿狼 bai2'yan3'er'lang2
白衣天使 bai2'yi1'tian1'shi3
白纸黑字 bai2'zhi3'hei1'zi4
百战百胜 bai3'zhan4'bai3'sheng4
百步穿杨 bai3'bu4'chuan1'yang2
百尺竿头 bai3'chi3'gan1'tou2
百儿八十 bai3'er'ba1'shi2
百发百中 bai3'fa1'bai3'zhong4
百废待兴 bai3'fei4'dai4'xing1
百分之百 bai3'fen1'zhi1'bai3
百感交集 bai3'gan3'jiao1'ji2
百花齐放 bai3'hua1'qi2'fang4
百家争鸣 bai3'jia1'zheng1'ming2
百科全书 bai3'ke1'quan2'shu1
百孔千疮 bai3'kong3'qian1'chuang1
百口莫辩 bai3'kou3'mo4'bian4
百里挑一 bai3'li3'tiao1'yi1
百年不遇 bai3'nian2'bu4'yu4
百年大计 bai3'nian2'da4'ji4
百思不解 bai3'si1'bu4'jie3
百无禁忌 bai3'wu2'jin4'ji4
百无聊赖 bai3'wu2'liao2'lai4
百依百顺 bai3'yi1'bai3'shun4
百战不殆 bai3'zhan4'bu4'dai4
百折不回 bai3'zhe2'bu4'hui2
百折不挠 bai3'zhe2'bu4'nao2
摆龙门阵 bai3'long2'men2'zhen4
拜金主义 bai4'jin1'zhu3'yi4
稗官野史 bai4'guan1'ye3'shi3
班门弄斧 ban1'men2'nong4'fu3
斑驳陆离 ban1'bo2'lu4'li2
板上钉钉 ban3'shang4'ding4'ding1
半半拉拉 ban4'ban'la1'la1
半大不小 ban4'da4'bu4'xiao3
半斤八两 ban4'jin1'ba1'liang3
半老徐娘 ban4'lao3'xu2'niang2
半路出家 ban4'lu4'chu1'jia1
半身不遂 ban4'shen1'bu4'sui2
半生不熟 ban4'sheng1'bu4'shu2
半死不活 ban4'si3'bu4'huo2
半途而废 ban4'tu2'er2'fei4
半推半就 ban4'tui1'ban4'jiu4
半新不旧 ban4'xin1'bu4'jiu4
半信半疑 ban4'xin4'ban4'yi2
半夜三更 ban4'ye4'san1'geng1
半殖民地 ban4'zhi2'min2'di4
膀大腰圆 bang3'da4'yao1'yuan2
棒打鸳鸯 bang4'da3'yuan1'yang1
包打天下 bao1'da3'tian1'xia4
包袱皮儿 bao1'fu'pi2'er
包罗万象 bao1'luo2'wan4'xiang4
宝贝疙瘩 bao3'bei4'ge1'da
饱经沧桑 bao3'jing1'cang1'sang1
饱经风霜 bao3'jing1'feng1'shuang1
保驾护航 bao3'jia4'hu4'hang2
保守主义 bao3'shou3'zhu3'yi4
保税仓库 bao3'shui4'cang1'ku4
保外就医 bao3'wai4'jiu4'yi1
保险系数 bao3'xian3'xi4'shu4
保质保量 bao3'zhi4'bao3'liang4
报告文学 bao4'gao4'wen2'xue2
抱残守缺 bao4'can2'shou3'que1
抱恨终天 bao4'hen4'zhong1'tian1
抱头鼠窜 bao4'tou2'shu3'cuan4
暴风骤雨 bao4'feng1'zhou4'yu3
暴戾恣睢 bao4'li4'zi4'sui1
暴殄天物 bao4'tian3'tian1'wu4
暴跳如雷 bao4'tiao4'ru2'lei2
暴饮暴食 bao4'yin3'bao4'shi2
卑躬屈膝 bei1'gong1'qu1'xi1
杯弓蛇影 bei1'gong1'she2'ying3
杯盘狼藉 bei1'pan2'lang2'ji2
杯水车薪 bei1'shui3'che1'xin1
悲观主义 bei1'guan1'zhu3'yi4
悲欢离合 bei1'huan1'li2'he2
悲天悯人 bei1'tian1'min3'ren2
悲痛欲绝 bei1'tong4'yu4'jue2
北回归线 bei3'hui2'gui1'xian4
北京时间 bei3'jing1'shi2'jian1
北京猿人 bei3'jing1'yuan2'ren2
北洋军阀 bei3'yang2'jun1'fa2
背道而驰 bei4'dao4'er2'chi2
背井离乡 bei4'jing3'li2'xiang1
背水一战 bei4'shui3'yi1'zhan4
背信弃义 bei4'xin4'qi4'yi4
奔走呼号 ben1'zou3'hu1'hao2
奔走相告 ben1'zou3'xiang1'gao4
本本主义 ben3'ben3'zhu3'yi4
本末倒置 ben3'mo4'dao4'zhi4
本位主义 ben3'wei4'zhu3'yi4
笨鸟先飞 ben4'niao3'xian1'fei1
笨手笨脚 ben4'shou3'ben4'jiao3
笨头笨脑 ben4'tou2'ben4'nao3
逼良为娼 bi1'liang2'wei2'chang1
